tag1,tag2,tag3,tag4,tag5,tag6,,odd tag
file,css,powershell,batch-file,bash,path,,css
unicode,css-selectors,twitter-bootstrap,css,html5,css3,,unicode
mongodb,entity-framework,azure,linq,jpa,hibernate,,azure
validation,asp.net-mvc-3,asp.net-mvc-4,unit-testing,razor,cordova,,cordova
git,version-control,pandas,mercurial,svn,github,,pandas
networking,email,tcp,sockets,firefox,ssl,,firefox
latex,math,django-models,excel,pdf,vba,,math
boost,stl,eclipse,c++11,pointers,vector,,eclipse
html5,video,facebook,sql,audio,facebook-graph-api,,sql
nginx,.htaccess,apache,url,caching,eclipse,,eclipse
colors,svg,image-processing,ajax,image,css,,ajax
datetime,time,date,sql,timezone,logging,,logging
reflection,interface,image,generics,inheritance,oop,,image
intellij-idea,eclipse,gradle,xcode,maven-2,maven,,xcode
clojure,operators,scala,haskell,git,angularjs,,git
soap,azure,service,eclipse,web-services,wcf,,eclipse
api,google-maps-api-3,google-maps,google-app-engine,magento,opencv,,magento
generics,xaml,mvvm,silverlight,wpf,winforms,,generics
rubygems,activerecord,heroku,ruby-on-rails-3,unit-testing,rspec,,unit-testing
shell,ggplot2,pandas,plot,dataframe,matplotlib,,shell
xsd,visual-studio-2012,xml,xslt,xpath,hadoop,,visual-studio-2012
machine-learning,math,data-structures,algorithm,concurrency,random,,machine-learning
algorithm,sql,android-studio,game-center,oop,snmp,,sql
android-fragments,floating-point,operators,math,integer,casting,,android-fragments
functional-programming,clojure,inheritance,scala,haskell,lisp,,inheritance
debugging,firefox,visual-studio-2010,visual-studio-2012,visual-studio,msbuild,,firefox
security,session,facebook,cookies,authentication,python-3.x,,python-3.x
google-maps-api-3,selenium,html5,angularjs,firefox,google-chrome,,google-maps-api-3
database,mysql,opengl,sql,tsql,sql-server,,opengl
regex,utf-8,logging,unicode,string,encoding,,logging
concurrency,multithreading,asynchronous,async-await,thread-safety,language-agnostic,,language-agnostic
linq,collections,facebook,dictionary,list,sorting,,facebook
xcode,uitableview,cocoa-touch,ipad,winforms,swift,,winforms
linq,c++11,generics,lambda,rspec,templates,,rspec
oracle,sql-server,database,sql,heroku,mysql,,heroku
bash,perl,oop,vim,emacs,shell,,oop
listview,android-actionbar,android-activity,android-layout,twitter-bootstrap,android-fragments,,twitter-bootstrap
algorithm,opencv,math,opengl,asynchronous,matlab,,asynchronous
oop,language-agnostic,design,inheritance,unit-testing,testing,,inheritance
ubuntu,npm,xpath,gcc,cmake,makefile,,npm
garbage-collection,memory,memory-leaks,floating-point,assembly,memory-management,,floating-point
android-emulator,cordova,eclipse,android-studio,ggplot2,android-intent,,ggplot2
codeigniter,mongodb,symfony2,laravel,wordpress,mysql,,mongodb
forms,css3,jquery-ui,html5,css,ajax,,ajax
namespaces,math,c++11,gcc,compiler-construction,enums,,math
user-interface,swing,eclipse,visual-studio,ruby-on-rails-3,keyboard-shortcuts,,keyboard-shortcuts
google-maps-api-3,python-3.x,python-2.7,numpy,pip,list,,google-maps-api-3
logging,exception,delphi,c++11,debugging,exception-handling,,logging
java-ee,sockets,spring-mvc,jsf,spring,tomcat,,sockets
rest,json,android-layout,post,ajax,http,,android-layout
